movie_id,title,runtime_minutes,genres,average_rating,num_votes,release_date,production_budget,domestic_gross,worldwide_gross,studio,year,roi_domestic,roi_worldwide
tt2503944,Burnt,101.0,Comedy,6.6,95988,2015-10-30,20000000,13651946,36773510,Wein.,2015,0.6825973,1.8386755
tt2503944,Burnt,101.0,Drama,6.6,95988,2015-10-30,20000000,13651946,36773510,Wein.,2015,0.6825973,1.8386755
tt2510894,Hotel Transylvania 2,89.0,Animation,6.7,92905,2015-09-25,80000000,169700110,469500298,Sony,2015,2.121251375,5.868753725
tt2510894,Hotel Transylvania 2,89.0,Comedy,6.7,92905,2015-09-25,80000000,169700110,469500298,Sony,2015,2.121251375,5.868753725
tt2510894,Hotel Transylvania 2,89.0,Family,6.7,92905,2015-09-25,80000000,169700110,469500298,Sony,2015,2.121251375,5.868753725
tt2515030,Escobar: Paradise Lost,120.0,Crime,6.5,19419,2015-06-26,17000000,195792,3917679,RTWC,2015,0.011517176470588236,0.23045170588235295
tt2515030,Escobar: Paradise Lost,120.0,Drama,6.5,19419,2015-06-26,17000000,195792,3917679,RTWC,2015,0.011517176470588236,0.23045170588235295
tt2515030,Escobar: Paradise Lost,120.0,History,6.5,19419,2015-06-26,17000000,195792,3917679,RTWC,2015,0.011517176470588236,0.23045170588235295
tt2515034,The Gunman,115.0,Action,5.8,36053,2015-03-20,40000000,10664749,18594227,ORF,2015,0.266618725,0.464855675
tt2515034,The Gunman,115.0,Crime,5.8,36053,2015-03-20,40000000,10664749,18594227,ORF,2015,0.266618725,0.464855675
tt2515034,The Gunman,115.0,Drama,5.8,36053,2015-03-20,40000000,10664749,18594227,ORF,2015,0.266618725,0.464855675
tt2531344,Blockers,102.0,Comedy,6.2,57142,2018-04-06,21000000,60311495,94045328,Uni.,2018,2.8719759523809523,4.478348952380952
tt2536448,Youth,75.0,Drama,6.6,36,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
tt2536448,Youth,75.0,Family,6.6,36,2015-12-04,13000000,2703296,24001573,FoxS,2015,0.20794584615384615,1.846274846153846
